CloseReason;EmployeeCount;GeographyKey;SellingAreaSize;Status;StoreKey;StoreName;StoreType
;43.0;771;490;On;222;Contoso Roma Store;Store
;95.0;772;480;On;304;Contoso Saint Petersburg Store;Store
;33.0;773;680;On;242;Contoso Stockholm Store;Store
;34.0;774;680;On;211;Contoso Stockport Store;Store
;10.0;775;630;On;221;Contoso Strasbourg Store;Store
;24.0;776;500;On;225;Contoso Torino Store;Store
;23.0;777;680;On;218;Contoso Toulouse Store;Store
;42.0;778;680;On;248;Contoso Valletta Store;Store
;11.0;779;500;On;223;Contoso Venezia Store;Store
;15.0;780;680;On;247;Contoso Warsaw Store;Store
;90.0;781;680;On;208;Contoso West Yorkshire Store;Store
;47.0;782;1125;On;114;Contoso Albany Store;Store
;47.0;784;1125;On;183;Contoso Anchorage Store;Store
;22.0;785;500;On;191;Contoso Annapolis Store;Store
;33.0;786;560;On;43;Contoso Appleton Store;Store
;25.0;787;700;On;93;Contoso Arlington Store;Store
;26.0;788;680;On;141;Contoso Atlantic City Store;Store
;19.0;789;455;On;150;Contoso Attleboro Store;Store
;25.0;790;700;On;40;Contoso Aurora Store;Store
;25.0;791;700;On;86;Contoso Austin Store;Store
;33.0;792;560;On;197;Contoso Back River Store;Store
;19.0;793;455;On;81;Contoso Bacliff Store;Store
;17.0;794;460;On;192;Contoso Baltimore Store;Store
;33.0;795;560;On;166;Contoso Bangor Store;Store
;47.0;796;1125;On;167;Contoso Bar Harbor Store;Store
;47.0;797;1125;On;137;Contoso Bayonne Store;Store
;22.0;798;500;On;76;Contoso Beaumont No.1 Store;Store
;25.0;798;700;On;78;Contoso Beaumont No.2 Store;Store
;26.0;799;680;On;33;Contoso Berthoud Store;Store
;325.0;800;500;On;199;Contoso North America Online Store;Online
;19.0;801;455;On;173;Contoso Bridgeport Store;Store
;17.0;802;460;On;146;Contoso Boston Store;Store
;47.0;803;1125;On;37;Contoso Boulder Store;Store
;47.0;804;1125;On;121;Contoso Brooklyn Store;Store
;47.0;806;1125;On;52;Contoso Burlington Store;Store
;33.0;807;560;On;113;Contoso Cape Canaveral Store;Store
;22.0;808;500;On;145;Contoso Cape May Store;Store
;33.0;809;560;On;28;Contoso Castle Rock Store;Store
;47.0;810;1125;On;190;Contoso Charleston Store;Store
;25.0;811;700;On;186;Contoso Charlottesville Store;Store
;26.0;813;680;On;11;Contoso Cle Elum Store;Store
;26.0;814;680;On;134;Contoso Clifton Store;Store
;47.0;815;1125;On;90;Contoso Dallas Store;Store
;22.0;816;500;On;176;Contoso Darien Store;Store
;47.0;817;1125;On;98;Contoso Denton Store;Store
;26.0;818;680;On;34;Contoso Denver No.1 Store;Store
;19.0;818;455;On;35;Contoso Denver No.2 Store;Store
;33.0;818;560;On;36;Contoso Denver No.3 Store;Store
;26.0;819;680;On;95;Contoso Desoto Store;Store
;19.0;820;455;On;135;Contoso East Orange Store;Store
;22.0;821;500;On;53;Contoso East Troy Store;Store
;25.0;822;700;On;63;Contoso Edgerton Store;Store
;26.0;823;680;On;126;Contoso Elmira Store;Store
;33.0;824;560;On;20;Contoso Englewood Store;Store
;47.0;825;1125;On;14;Contoso Fall City Store;Store
;25.0;826;700;On;163;Contoso Falmouth Store;Store
;17.0;827;460;On;46;Contoso Fond du Lac Store;Store
;26.0;828;680;On;64;Contoso Fort Atkinson Store;Store
;22.0;829;500;On;30;Contoso Fort Collins Store;Store
;25.0;830;700;On;109;Contoso Fort Lauderdale Store;Store
;22.0;831;500;On;99;Contoso Fort Worth Store;Store
;25.0;832;700;On;155;Contoso Framingham Store;Store
;26.0;833;680;On;187;Contoso Fredericksburg Store;Store
;22.0;834;500;On;91;Contoso Georgetown Store;Store
;25.0;835;700;On;55;Contoso Germantown Store;Store
;47.0;835;1125;On;198;Contoso North Harford Store;Store
;17.0;836;460;On;23;Contoso Grand Junction Store;Store
;25.0;837;700;On;94;Contoso Grand Prairie Store;Store
;22.0;838;500;On;7;Contoso Granger Store;Store
;25.0;839;700;On;25;Contoso Greeley  No.1 Store;Store
;17.0;839;462;On;31;Contoso Greeley No.2 Store;Store
;19.0;840;455;On;42;Contoso Green Bay Store;Store
;33.0;841;560;On;189;Contoso Greenville Store;Store
;25.0;842;700;On;140;Contoso Hackensack Store;Store
;26.0;843;680;On;172;Contoso Hartford Store;Store
;19.0;844;455;On;158;Contoso Haverhill Store;Store
;17.0;845;460;On;92;Contoso Hillsboro Store;Store
;22.0;846;500;On;153;Contoso Hingham Store;Store
;33.0;847;560;On;143;Contoso Hoboken Store;Store
;22.0;848;500;On;161;Contoso Holyoke Store;Store
;33.0;849;560;On;66;Contoso Houston No.1 Store;Store
;47.0;849;1125;On;67;Contoso Houston No.2 Store;Store
;22.0;849;500;On;68;Contoso Houston No.3 Store;Store
;17.0;849;460;On;69;Contoso Houston No.4 Store;Store
;25.0;850;700;On;193;Contoso Howard Store;Store
;17.0;852;460;On;123;Contoso Ithaca Store;Store
;26.0;853;680;On;103;Contoso Jacksonville Store;Store
;25.0;854;700;On;132;Contoso Jersey City Store;Store
;22.0;855;500;On;168;Contoso Kennebunkport Store;Store
;26.0;856;680;On;3;Contoso Kennewick Store;Store
;26.0;858;680;On;80;Contoso La Porte Store;Store
;19.0;859;455;On;27;Contoso Lafayette Store;Store
;17.0;860;460;On;108;Contoso Lakeland Store;Store
;47.0;861;1125;On;152;Contoso Leominster Store;Store
;17.0;862;460;On;169;Contoso Lewiston Store;Store
;33.0;863;560;On;97;Contoso Lewisville Store;Store
;25.0;864;700;On;178;Contoso Litchfield County Store;Store
;17.0;865;462;On;39;Contoso Littleton Store;Store
;47.0;866;1125;On;75;Contoso Longview Store;Store
;26.0;867;680;On;26;Contoso Loveland Store;Store
;33.0;868;560;On;151;Contoso Lowell Store;Store
;33.0;869;560;On;159;Contoso Lynn Store;Store
;47.0;870;1125;On;60;Contoso Madison Store;Store
;33.0;871;560;On;59;Contoso Manitowoc Store;Store
;33.0;872;560;On;74;Contoso Marshall Store;Store
;19.0;873;455;On;188;Contoso Martinsville Store;Store
;47.0;874;1125;On;44;Contoso Menasha Store;Store
;17.0;875;462;On;101;Contoso Miami No.1 Store;Store
;25.0;875;700;On;102;Contoso Miami No.2 Store;Store
;25.0;876;700;On;70;Contoso Midland Store;Store
;25.0;877;700;On;32;Contoso Milliken Store;Store
;25.0;878;700;On;47;Contoso Milwaukee No.1 Store;Store
;26.0;878;680;On;49;Contoso Milwaukee No.3 Store;Store
;26.0;879;680;On;72;Contoso Minden Store;Store
;19.0;880;455;On;142;Contoso Montclair Store;Store
;95.0;881;480;On;287;Contoso Montreal No.1 Store;Store
;95.0;881;480;On;288;Contoso Montreal No.2 Store;Store
;47.0;882;1125;On;144;Contoso Morristown Store;Store
;19.0;883;455;On;165;Contoso Nantucket Store;Store
;13.0;884;500;On;227;Contoso Naples Store;Store
;26.0;885;680;On;149;Contoso New Bedford Store;Store
;17.0;886;462;On;139;Contoso New Brunswick Store;Store
;25.0;887;700;On;24;Contoso New Castle Store;Store
;17.0;888;462;On;177;Contoso New Haven Store;Store
;26.0;889;680;On;179;Contoso New London Store;Store
;22.0;890;500;On;115;Contoso New York No.1 Store;Store
;25.0;890;700;On;117;Contoso New York No.2 Store;Store
;22.0;891;500;On;130;Contoso Newark No.1 Store;Store
;17.0;891;462;On;131;Contoso Newark No.2 Store;Store
;26.0;892;680;On;180;Contoso Norfolk Store;Store
;120.0;894;462;On;200;Contoso Catalog Store;Catalog
;47.0;895;1125;On;160;Contoso Northampton Store;Store
;47.0;896;1125;On;175;Contoso Old Saybrook Store;Store
;17.0;897;462;On;77;Contoso Orange Store;Store
;22.0;898;500;On;61;Contoso Oregon Store;Store
;25.0;899;700;On;110;Contoso Orlando Store;Store
;25.0;900;700;On;170;Contoso Orono Store;Store
;22.0;901;500;On;45;Contoso Oshkosh Store;Store
;22.0;902;500;On;122;Contoso Oswego Store;Store
;95.0;903;480;On;282;Contoso Ottawa No.1 Store;Store
;95.0;903;480;On;283;Contoso Ottawa No.2 Store;Store
;26.0;904;680;On;41;Contoso Parker Store;Store
;19.0;905;455;On;196;Contoso Parkville Store;Store
;47.0;906;1125;On;83;Contoso Pasadena Store;Store
;33.0;907;560;On;136;Contoso Passaic Store;Store
;26.0;908;680;On;133;Contoso Paterson Store;Store
;17.0;910;462;On;100;Contoso Plano Store;Store
;33.0;911;560;On;120;Contoso Plattsburgh Store;Store
;19.0;912;455;On;127;Contoso Poestenkill Store;Store
;26.0;913;680;On;57;Contoso Port Washington Store;Store
;26.0;914;680;On;164;Contoso Provincetown Store;Store
;26.0;915;680;On;195;Contoso Queen Anne's County Store;Store
;25.0;916;700;On;125;Contoso Queens Store;Store
;17.0;917;462;On;154;Contoso Quincy Store;Store
;33.0;918;560;On;51;Contoso Racine No.1 Store;Store
;19.0;918;455;On;65;Contoso Racine No.2 Store;Store
;19.0;919;455;On;96;Contoso Richardson Store;Store
;25.0;920;700;On;194;Contoso Ridgely Store;Store
;17.0;921;462;On;185;Contoso Roanoke Store;Store
;17.0;922;462;On;116;Contoso Rochester No.1 Store;Store
;25.0;922;700;On;124;Contoso Rochester No.2 Store;Store
;33.0;923;560;On;89;Contoso Round Rock Store;Store
;25.0;924;700;On;71;Contoso Russellville Store;Store
;26.0;925;680;On;87;Contoso San Antonio Store;Store
;22.0;926;500;On;107;Contoso Sebring Store;Store
;19.0;928;455;On;58;Contoso Sheboygan Store;Store
;19.0;929;455;On;73;Contoso Shreveport Store;Store
;33.0;930;560;On;13;Contoso Snoqualmie Store;Store
;26.0;931;680;On;157;Contoso Somerville Store;Store
;25.0;932;700;On;171;Contoso South Portland Store;Store
;17.0;933;462;On;85;Contoso Spring Store;Store
;17.0;935;460;On;8;Contoso Sunnyside Store;Store
;26.0;936;680;On;118;Contoso Syracuse Store;Store
;19.0;937;455;On;104;Contoso Tallahassee No.1 Store;Store
;33.0;937;560;On;105;Contoso Tallahassee No.2 Store;Store
;26.0;938;680;On;111;Contoso Tampa Store;Store
;33.0;939;560;On;82;Contoso Texas City Store;Store
;22.0;940;500;On;38;Contoso Thornton Store;Store
;25.0;941;700;On;9;Contoso Toppenish Store;Store
;95.0;942;480;On;284;Contoso Toronto No.1 Store;Store
;95.0;942;480;On;285;Contoso Toronto No.2 Store;Store
;95.0;942;480;On;286;Contoso Toronto No.3 Store;Store
;33.0;943;560;On;128;Contoso Trenton No.1 Store;Store
;26.0;944;680;On;18;Contoso Veradale Store;Store
;22.0;945;500;On;138;Contoso Vineland Store;Store
;19.0;946;455;On;181;Contoso Virginia Beach Store;Store
;25.0;947;700;On;10;Contoso Wapato Store;Store
;33.0;948;560;On;174;Contoso Waterbury Store;Store
;19.0;949;455;On;50;Contoso Waukesha No.1 Store;Store
;17.0;949;462;On;54;Contoso Waukesha No.2 Store;Store
;47.0;950;1125;On;21;Contoso Wheat Ridge Store;Store
;33.0;951;560;On;182;Contoso Winchester Store;Store
;25.0;952;700;On;147;Contoso Worcester No.1 Store;Store
Relocation;22.0;783;500;Off;184;Contoso Alexandria Store;Store
Relocation;22.0;851;500;Off;84;Contoso Humble Store;Store
Relocation;19.0;857;455;Off;112;Contoso Key West Store;Store
Relocation;25.0;878;700;Off;48;Contoso Milwaukee No.2 Store;Store
Relocation;19.0;893;455;Off;12;Contoso North Bend Store;Store
Relocation;17.0;909;462;Off;162;Contoso Pittsfield Store;Store
Relocation;47.0;927;1125;Off;29;Contoso Sedalia Store;Store
Relocation;17.0;934;462;Off;62;Contoso Stoughton Store;Store
Relocation;47.0;943;1125;Off;129;Contoso Trenton No.2 Store;Store
Relocation;25.0;952;700;Off;148;Contoso Worcester No.2 Store;Store
Store;19.0;805;455;Off;119;Contoso Buffalo Store;Store
Store;19.0;812;455;Off;19;Contoso Cheney Store;Store
